code,name,lat,lon
YPAD,Adelaide,-34.945,138.53055556
YABA,Albany,-34.94333333,117.80888889
YMAY,Albury,-36.06777778,146.95805556
YBAS,Alice Springs,-23.80833333,133.90083333
YAPH,Alpha,-23.64611111,146.58361111
YAMB,Amberley,-27.64055556,152.71194444
YARA,Ararat,-37.30944444,142.98861111
YBAF,Archerfield,-27.57027778,153.00805556
YARG,Argyle,-16.63694444,128.45138889
YARM,Armidale,-30.52805556,151.61722222
YAUR,Aurukun,-13.35388889,141.72083333
YMAV,Avalon,-38.03944444,144.46944444
YAYE,Ayers Rock,-25.18611111,130.97555556
YBNS,Bairnsdale,-37.8875,147.56777778
YBGO,Balgo Hill,-20.14833333,127.97388889
YBLT,Ballarat,-37.51166667,143.79111111
YLLE,Ballera,-27.40833333,141.80833333
YBNA,Ballina/byron Gateway,-28.83388889,153.5625
YBRN,Balranald,-34.62361111,143.57833333
YSBK,Bankstown,-33.92444444,150.98833333
YBAR,Barcaldine,-23.56527778,145.30666667
YBRY,Barimunya,-22.67388889,119.16611111
YBWX,Barrow Island,-20.86444444,115.40611111
YBTH,Bathurst,-33.40944444,149.65194444
YBTI,Bathurst Island,-11.76916667,130.61972222
YBIE,Bedourie,-24.34611111,139.46027778
YBLU,Bellevue,-27.61277778,120.59388889
YBLA,Benalla,-36.55416667,146.00916667
YBDG,Bendigo,-36.73944444,144.32972222
YBIR,Birchip,-35.99972222,142.9175
YBDV,Birdsville,-25.8975,139.3475
YBCK,Blackall,-24.42777778,145.42861111
YBGD,Boolgeeda,-22.54111111,117.26944444
YBOU,Boulia,-22.91333333,139.89972222
YBKE,Bourke,-30.03916667,145.95166667
YBWN,Bowen,-20.01777778,148.21527778
YBRW,Brewarrina,-29.97388889,146.81666667
YBBN,Brisbane,-27.38416667,153.1175
YBWW,Brisbane West Wellcamp,-27.55861111,151.79416667
YBHI,Broken Hill,-32.00138889,141.47166667
YBRM,Broome,-17.94972222,122.22777778
YBUN,Bunbury,-33.37805556,115.67694444
YBUD,Bundaberg,-24.90388889,152.31861111
YBKT,Burketown,-17.74861111,139.53444444
YBLN,Busselton,-33.68722222,115.40027778
YBCS,Cairns,-16.88583333,145.75527778
YSCN,Camden,-34.04027778,150.68722222
YCMW,Camooweal,-19.91166667,138.125
YSCB,Canberra,-35.30694444,149.195
YCAR,Carnarvon,-24.88055556,113.67222222
YCDU,Ceduna,-32.13055556,133.70972222
YCNY,Century Mine,-18.75333333,138.70666667
YCNK,Cessnock,-32.7875,151.34166667
YBCV,Charleville,-26.41333333,146.2625
YCHT,Charters Towers,-20.04305556,146.27305556
YCGO,Chillagoe,-17.14083333,144.52833333
YCCA,Chinchilla,-26.76944444,150.61666667
YCHK,Christmas Creek,-22.35583333,119.6425
YPXM,Christmas Island,-10.45055556,105.69027778
YCMT,Clermont,-22.77305556,147.62055556
YCEE,Cleve,-33.70972222,136.50472222
YCCY,Cloncurry,-20.66861111,140.50444444
YCBA,Cobar,-31.53833333,145.79388889
YPCC,Cocos (keeling) Island,-12.18861111,96.83055556
YCOE,Coen,-13.76194444,143.11666667
YCFS,Coffs Harbour,-30.32055556,153.11638889
YCDO,Condobolin,-33.06444444,147.20916667
YCBP,Coober Pedy,-29.04,134.72083333
YCKN,Cooktown,-15.44472222,145.18444444
YCAH,Coolah,-31.77333333,149.60944444
YCOM,Cooma,-36.30055556,148.97388889
YCBB,Coonabarabran,-31.3325,149.26722222
YCNM,Coonamble,-30.98333333,148.37555556
YCWA,Coondewanna,-22.96666667,118.81333333
YCTM,Cootamundra,-34.62444444,148.03583333
YCOR,Corowa,-35.99027778,146.35138889
YCRG,Corryong,-36.18277778,147.88777778
YCWR,Cowra,-33.84472222,148.64888889
YCKI,Croker Island,-11.16527778,132.48388889
YCUN,Cunderdin,-31.62222222,117.21666667
YCMU,Cunnamulla,-28.03,145.62222222
YCIN,Curtin,-17.58138889,123.82833333
YDLO,Darlot,-27.87361111,121.27166667
YPDN,Darwin,-12.41472222,130.87666667
YDGU,Degrussa,-25.5575,119.2875
YDWF,Delamere Range Facility,-15.74694444,131.91944444
YDLQ,Deniliquin,-35.55944444,144.94638889
YDBY,Derby,-17.37,123.66055556
YDPO,Devonport,-41.16972222,146.43027778
YDBI,Dirranbandi,-28.59166667,148.21666667
YDOC,Dochra,-32.65055556,151.20805556
YDOD,Donald,-36.36027778,143.0075
YDMG,Doomadgee,-17.94027778,138.82166667
YSDU,Dubbo,-32.21666667,148.57472222
YDKG,Duketon Gold,-27.60194444,122.33388889
YEJI,East Jaurdi,-30.76944444,120.31194444
YMES,East Sale,-38.09888889,147.14944444
YECH,Echuca,-36.15722222,144.76194444
YPED,Edinburgh,-34.7025,138.62083333
YELD,Elcho Island,-12.01944444,135.57055556
YEML,Emerald,-23.5675,148.17916667
YESP,Esperance,-33.68444444,121.82277778
YMEN,Essendon,-37.72805556,144.90194444
YFTZ,Fitzroy Crossing,-18.18194444,125.55861111
YFLI,Flinders Island,-40.09138889,147.99277778
YFBS,Forbes,-33.36361111,147.935
YFRT,Forrest,-30.83805556,128.115
YFTA,Forrestania,-32.57833333,119.70666667
YFDF,Fortescue Dave Forrest,-22.29194444,119.43722222
YGPT,Garden Pt,-11.39916667,130.42527778
YGAY,Gayndah,-25.61527778,151.62083333
YGTN,Georgetown (qld),-18.30333333,143.53166667
YGEL,Geraldton,-28.79611111,114.7075
YGIA,Ginbata,-22.58111111,120.03555556
YGIG,Gingin,-31.46527778,115.86333333
YGLA,Gladstone,-23.86972222,151.22277778
YGLI,Glen Innes,-29.675,151.68944444
YBCG,Gold Coast,-28.16444444,153.50472222
YGGE,Golden Grove,-28.765,116.97166667
YGDA,Goodooga,-29.07333333,147.37611111
YGDI,Goondiwindi,-28.52138889,150.32027778
YGLB,Goulburn,-34.81027778,149.72638889
YPGV,Gove,-12.26944444,136.81833333
YGFN,Grafton,-29.75944444,153.03
YGRS,Granny Smith,-28.76333333,122.43777778
YGTH,Griffith,-34.25083333,146.06722222
YGTE,Groote Eylandt,-13.97333333,136.46083333
YGDH,Gunnedah,-30.96111111,150.25055556
YHLC,Halls Creek,-18.23388889,127.66972222
YHML,Hamilton,-37.64888889,142.06527778
YBHM,Hamilton Island,-20.35805556,148.95166667
YHAY,Hay,-34.53138889,144.82972222
YHBA,Hervey Bay,-25.31888889,152.88027778
YMHB,Hobart,-42.83611111,147.51027778
YSHW,Holsworthy,-33.995,150.9525
YHOO,Hooker Creek,-18.33583333,130.64333333
YHPN,Hopetoun,-35.71527778,142.35972222
YHID,Horn Island,-10.58638889,142.29
YHSM,Horsham,-36.66972222,142.17277778
YHUG,Hughenden,-20.815,144.22527778
YIFL,Innisfail,-17.55861111,146.01166667
YIVL,Inverell,-29.88833333,151.14416667
YJAB,Jabiru,-12.65833333,132.89305556
YJAC,Jacinth Ambrosia,-30.90111111,132.18361111
YPJT,Jandakot,-32.0975,115.88111111
YJBY,Jervis Bay,-35.14722222,150.69722222
YJLC,Julia Creek,-20.66833333,141.7225
YJUN,Jundee,-26.42111111,120.5775
YKBR,Kalbarri,-27.69194444,114.25944444
YPKG,Kalgoorlie-boulder,-30.78944444,121.46166667
YKKG,Kalkgurung,-17.43194444,130.80805556
YKAL,Kalumburu,-14.28805556,126.63111111
YKAR,Karara,-29.21611111,116.68666667
YPKA,Karratha,-20.71222222,116.77333333
YKMB,Karumba,-17.45555556,140.83166667
YKNG,Katanning,-33.70027778,117.65333333
